Protected_Heritage_Area,Field_Unit,Program,Agency,2019_Jan,2019_Feburary,2019_March,2019_April,2019_May,2019_June,2019_July,2019_August,2019_September,2019_October,2019_November,2019_December,2020_Jan,2020_Feburary,2020_March,2020_April,2020_May,2020_June,2020_July,2020_August,2020_September,2020_October,2020_November,2020_December,2021_Jan,2021_Feburary,2021_March,2021_April,2021_May,2021_June,2021_July,2021_August,2021_September,2021_October,2021_November,2021_December,2022_Jan,2022_Feburary,2022_March,2022_April,2022_May,2022_June,2022_July,2022_August,2022_September,2022_October,2022_November,2022_December,2023_Jan,2023_Feburary,2023_March,2023_April,2023_May,2023_June,2023_July,2023_August,2023_September,2023_October,2023_November,2023_December,,,,,,,,,
Thousand Islands,GEORGIAN BAY & ONTARIO EAST,National Park,Parks Canada Agency,CL,"4,231",10743,20185,22156,11648,3662,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,"10,487",19296,23319,12743,"3,890",CL,CL,CL,CL,CL,CL,"4,851",14259,27890,29801,17935,"6,742",CL,CL,CL,CL,CL,CL,"8,833",16181,28360,29833,18587,"7,490",CL,CL,CL,CL,CL,CL,"8,042",14703,27179,30716,18056,6135,CL,CL,,,,,,,,,
Georgian Bay Islands,GEORGIAN BAY & ONTARIO EAST,National Park,Parks Canada Agency,CL,"2,469",5505,8853,10499,6383,2071,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,"1,483",4737,6317,3928,"1,030",CL,CL,CL,CL,CL,CL,125,3263,7435,8082,5227,"1,766",CL,CL,CL,CL,CL,CL,"1,586",3833,7186,7806,5152,"1,919",CL,CL,CL,CL,CL,CL,"2,937",5370,9536,10608,6761,2096,CL,CL,,,,,,,,,
Bruce Peninsula,GEORGIAN BAY & ONTARIO EAST,National Park,Parks Canada Agency,CL,"33,943",71350,134936,152392,66815,30952,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,"1,474",116161,132143,82244,"39,530",CL,CL,CL,CL,CL,CL,"20,803",65936,130643,150731,83711,"64,759",CL,CL,CL,CL,CL,CL,"36,834",75434,138019,126235,52985,"30,928",CL,CL,CL,CL,CL,CL,"45,250",74955,131428,138671,74991,28571,CL,CL,,,,,,,,,
Point Pelee,SOUTHWEST ONTARIO,National Park,Parks Canada Agency,"31,450","59,514",48680,53099,62240,46584,28032,"11,413","11,802",NULL,NULL,NULL,"6,129","16,621","20,604",CL,CL,"18,502",63760,72543,60333,"39,854","29,213","18,239","17,869","24,928","38,119","53,045","71,618",67512,77592,76157,60768,"39,094","21,415","17,119","10,927","18,690","24,091","40,131","73,401",56551,76718,71172,54340,"41,322","16,910","12,004","7,733","19,713","22,127","43,255","74,292",59413,71961,73252,51942,32837,"15,080","14,112",,,,,,,,,
Pukaskwa,NORTHERN ONTARIO,National Park,Parks Canada Agency,CL,737,1784,2913,2619,692,362,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,376,2832,5487,3233,941,CL,CL,CL,CL,CL,CL,25,1899,5994,6343,3046,736,CL,CL,CL,CL,CL,CL,"1,311",2712,4408,5109,3086,659,CL,CL,CL,CL,CL,CL,"1,452",2502,4896,5205,3063,656,CL,CL,,,,,,,,,
Wapusk,MANITOBA,National Park,Parks Canada Agency,74,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,CL,CL,CL,,,,CL,CL,CL,CL,CL,CL,37,0,15,11,0,20,0,0,0,0,0,0,CL,0,14,13,52,3,0,0,0,0,0,0,4,4,17,20,70,8,0,0,0,,,,,,,,,
Riding Mountain,RIDING MOUNTAIN,National Park,Parks Canada Agency,"16,175","25,352",36475,91550,88408,19414,13488,"12,650","13,632",NULL,NULL,NULL,"11,871","12,245","10,958",CL,CL,"27,278",87083,74719,23111,"14,527","10,626","10,811","11,651","11,154","15,328","17,107","23,472",35480,92189,80246,29480,"16,881","12,589","13,226","10,895","10,146","14,046","12,442","20,346",32407,87512,79878,28926,"14,680","11,354","11,393","12,162","11,626","13,834","14,262","24,851",35239,82145,78156,27290,13374,"12,757","13,096",,,,,,,,,
Grasslands,SASKATCHEWAN SOUTH,National Park,Parks Canada Agency,CL,"1,844",3983,4694,4585,1859,512,CL,CL,NULL,NULL,NULL,CL,CL,CL,CL,CL,650,3846,3940,2701,"1,141",CL,CL,CL,CL,CL,CL,"1,759",3786,4853,4736,3577,"1,530",CL,CL,CL,CL,CL,CL,"2,609",4123,4887,4328,2934,775,CL,CL,CL,CL,CL,CL,"2,487",4064,3943,4139,2799,1356,CL,CL,,,,,,,,,
Elk Island,NORTHERN PRARIES,National Park,Parks Canada Agency,"26,982","47,445",52214,60532,61050,43857,25282,"13,027","13,771",NULL,NULL,NULL,"13,704","15,825","18,288",CL,CL,"52,254",81630,80210,54754,"35,498","19,807","31,350","40,330","27,278","41,107","49,447","67,459",57588,58594,60613,52313,"45,599","21,186","10,303","18,247","16,770","17,486","29,342","47,219",46102,61743,56809,48085,"37,284","11,000","10,697","17,078","18,842","25,690","35,437","44,548",49910,67186,62907,52618,37340,"25,656","22,302",,,,,,,,,
Prince Albert,NORTHERN PRARIES,National Park,Parks Canada Agency,"7,689","21,552",44775,67855,70184,29971,12967,"5,584","6,298",NULL,NULL,NULL,"5,379","6,107","5,512",CL,CL,"22,636",76993,80002,31853,"10,997","5,733","7,119","6,719","6,990","6,894","7,003","23,865",49031,78677,69224,34139,"15,498","5,739","6,579","5,668","6,071","7,896","7,559","19,797",40217,69223,69897,31961,"13,438","5,997","6,912","7,361","7,077","7,933","8,217","23,710",45023,70230,73914,31650,12279,"6,620","7,308",,,,,,,,,
